persona_id,persona_nombre,imagen_url,post_status,thumbnail_id,mime_type
150115,"Ricardo Cerone","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000013067.jpg",publish,150116,"image/jpeg"
150119,"Violeta Naón","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000013064.jpg",publish,150120,"image/jpeg"
150130,"Ana María Castel","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000013040.jpg",publish,150131,"image/jpeg"
150135,"Rodolfo García","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000065720.jpg",publish,150136,"image/jpeg"
150137,"Emilio Del Guercio","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000013026.jpg",publish,150138,"image/jpeg"
150139,"Claudio Gabis","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000013023.jpg",publish,150140,"image/jpeg"
150141,"Javier Martínez","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000013020.jpg",publish,150142,"image/jpeg"
150143,"Alejandro Medina","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000013017.jpg",publish,150144,"image/jpeg"
150146,"Rubén Basoalto","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000013011.jpg",publish,150147,"image/jpeg"
150148,"Ricardo Soulé","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000067915.jpg",publish,150149,"image/jpeg"
150152,"Oscar Moro","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000013002.jpg",publish,150153,"image/jpeg"
150155,"Gustavo Santaolalla","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000060094.jpg",publish,150156,"image/jpeg"
150159,"Jorge Pinchevsky","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000012990.jpg",publish,150160,"image/jpeg"
150163,"Billy Bond","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000012984.jpg",publish,150164,"image/jpeg"
150204,"Miliki","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000012973.jpg",publish,150205,"image/jpeg"
150206,"Fofó","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000060529.jpg",publish,150207,"image/jpeg"
150214,"Jorge Acha","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000012963.jpg",publish,150215,"image/jpeg"
150270,"Daniel Binelli","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000012951.jpg",publish,150271,"image/jpeg"
150272,"Virgilio Expósito","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000012948.jpg",publish,150273,"image/jpeg"
150274,"Susana Rinaldi","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000012945.jpg",publish,150275,"image/jpeg"
150277,"Juan Cruz Bordeu","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000012942.jpg",publish,150278,"image/jpeg"
150279,"Jairo","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000012915.jpg",publish,150280,"image/jpeg"
150281,"Gian María Volonté","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000064688.jpg",publish,150282,"image/jpeg"
150300,"Guillermo Divito","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000012902.jpg",publish,150301,"image/jpeg"
150321,"Alicia Rosalía País","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000012897.jpg",publish,150322,"image/jpeg"
150327,"Divina Gloria","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000061492.jpg",publish,150328,"image/jpeg"
150329,"Alfredo Zitarrosa","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000012885.jpg",publish,150330,"image/jpeg"
150355,"Nené Cascallar","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000012878.jpg",publish,150356,"image/jpeg"
150359,"Mabel Pessen","http://nuevo.cinenacional.com/wp-content/uploads/2018/10/mabel.jpg",publish,159613,"image/jpeg"
150360,"Andrea Bonelli","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000012869.jpg",publish,150361,"image/jpeg"
150367,"Juan Minujín","https://cinenacional.com/wp-content/uploads/2018/10/jminujin.jpg",publish,161838,"image/jpeg"
150369,"Eleonora Wexler","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000012759.jpg",publish,150370,"image/jpeg"
150372,"Alejo García Pintos","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000012738.jpg",publish,150373,"image/jpeg"
150375,"Gabriela Tagliavini","http://nuevo.cinenacional.com/wp-content/uploads/2021/09/0000012730.jpg",publish,150376,"image/jpeg"
