movie_id,movie_title,movie_year,person_id,person_first_name,person_last_name,death_year,years_difference,work_type
2035,"Viento norte",2020,156880,"Alberto","Vacarezza",1959,61,crew
754,"Fascinación",2016,158495,"Carlos","Olivari",1955,61,crew
754,"Fascinación",2016,158495,"Carlos","Olivari",1955,61,crew
2425,"Cuesta abajo",1995,155243,"Alfredo","Le Pera",1935,60,crew
1653,"La pulga en la oreja",1981,158039,"Georges","Feydeau",1921,60,crew
835,"La fuga",2013,156453,"Juan Carlos","Cobián",1953,60,crew
2425,"Cuesta abajo",1995,155245,"Carlos","Gardel",1935,60,crew
6671,"La muestra",2010,149983,"Arnold","Schönberg",1951,59,crew
754,"Fascinación",2016,158057,"Carlos","Schlieper",1957,59,crew
614,"Enigma de mujer",1956,152725,"Johannes","Brahms",1897,59,crew
1060,"Juan Moreira",1948,149176,"Eduardo","Gutiérrez",1889,59,crew
1060,"Juan Moreira",1948,149176,"Eduardo","Gutiérrez",1889,59,crew
943,"Historias de amor, de locura y de muerte",1996,149596,"Horacio","Quiroga",1937,59,crew
837,"El gaucho y el diablo",1952,150983,"Robert","Louis Stevenson",1894,58,crew
1230,"Más allá del olvido",1956,147965,"Georges","Rodenbach",1898,58,crew
1495,"La mujer de las camelias",1953,146582,"Alejandro","Dumas (h)",1895,58,crew
159,"Así es la vida",1977,156443,"Ángel","Villoldo",1919,58,crew
721,"El extraño caso del hombre y la bestia",1951,150983,"Robert","Louis Stevenson",1894,57,crew
5079,"Que ne suis-je fougère?",2005,127188,"Kurt","Schwitters",1948,57,crew
2750,"El fusilamiento de Dorrego",2002,137827,"Mario","Gallo",1945,57,crew
1998,"Su mejor alumno",1944,149099,"Domingo","Faustino Sarmiento",1888,56,crew
81,"Allá lejos y hace tiempo",1978,157762,"Guillermo","Enrique Hudson",1922,56,crew
68,"Alejandra",2013,158057,"Carlos","Schlieper",1957,56,crew
309,"Canción de cuna",2005,154866,"María","Santos",1949,56,cast
50,"Adolescencia",2011,158495,"Carlos","Olivari",1955,56,crew
651,"Después del silencio",2020,158376,"Francisco","Audenino",1964,56,cast
3171,"Mocoso malcriado",1993,149596,"Horacio","Quiroga",1937,56,crew
1075,"El juguete rabioso",1998,148842,"Roberto","Arlt",1942,56,crew
1449,"Muchacho",1970,146863,"José","Betinotti",1915,55,crew
160531,"El Fausto criollo",1979,150799,"Julián","Aguirre",1924,55,crew
9694,"Desaparición incompleta",2020,152800,"Ezequiel","Martínez Estrada",1965,55,crew
525,"La dama del collar",1948,153824,"Guy","de Maupassant",1893,55,crew
754,"Fascinación",2016,157776,"Julián","Bautista",1961,55,crew
50,"Adolescencia",2011,158506,"Felisa","Mary",1956,55,cast
229,"La bestia humana",1957,155524,"Emilio","Zola",1902,55,crew
5454,"A propósito de Buenos Aires",2007,125974,"Macedonio","Fernández",1952,55,crew
651,"Después del silencio",2020,158381,"Pedro","Laxalt",1965,55,cast
1438,"Mosquita muerta",1946,146975,"Albert","Millaud",1892,54,crew
5079,"Que ne suis-je fougère?",2005,149983,"Arnold","Schönberg",1951,54,crew
639,"La despedida",2012,157080,"Fernando","de Fuentes",1958,54,crew
1291,"La mentirosa",1999,149215,"Consuelo","Abad",1945,54,cast
1438,"Mosquita muerta",1946,146973,"Hervé","",1892,54,crew
1774,"Todo el año es Navidad",2018,157274,"Pepita","Serrador",1964,54,cast
201,"El baldío",2021,158917,"Alfredo","Traverso",1967,54,crew
1926,"Veinticuatro horas en la vida de una mujer",1944,154121,"César","Franck",1890,54,crew
1759,"La Tigra",1964,155720,"Florencio","Sánchez",1910,54,crew
1418,"La patota",2015,147091,"Gastón","Marchetto",1961,54,cast
651,"Después del silencio",2020,155984,"Julio","Bianquet",1966,54,cast
9810,"Che, memorias de un año secreto",2020,135736,"Ernesto","""Che"" Guevara",1967,53,cast
1887,"Últimas imágenes del naufragio",1990,148941,"José","González Castillo",1937,53,crew
1203,"Noche de bodas",2009,158506,"Felisa","Mary",1956,53,cast
492,"El crimen de Oribe",1950,152725,"Johannes","Brahms",1897,53,crew
1071,"El jugador",2016,157784,"Alberto","Bello",1963,53,cast
1071,"El jugador",2016,148871,"Julio","Perceval",1963,53,crew
176,"Las aventuras de Jack",1949,156157,"Alphonse","Daudet",1897,52,crew
1039,"Huella",1940,149099,"Domingo","Faustino Sarmiento",1888,52,crew
930,"Guacho",2007,149685,"Concha","Espina",1955,52,crew
160785,"La novela de un joven pobre",1942,147892,"Octave","Feuillet",1890,52,crew
335,"Capitán Veneno",1943,154319,"Pedro Antonio","de Alarcón",1891,52,crew
10343,"Juana",2021,104602,"Juana","Rouco Buela",1969,52,cast
160021,"Dagli Apennini alle Ande",1960,152940,"Edmondo","de Amicis",1908,52,crew
208,"Barcos de papel",2020,158853,"José","Serra",1968,52,crew
698,"Una excursión a los indios ranqueles",1965,151202,"Lucio","V. Mansilla",1913,52,crew
955,"Un idilio de estación",1978,150653,"Ricardo","Güiraldes",1927,51,crew
150,"Arroz con leche",2008,158057,"Carlos","Schlieper",1957,51,crew
984,"Los inocentes",2016,158160,"Alberto","Etchebehere",1965,51,crew
355,"La casa de los cuervos",1941,154121,"César","Franck",1890,51,crew
2054,"Yo quiero ser bataclana",2005,157988,"Enrique","Roldán",1954,51,cast
2054,"Yo quiero ser bataclana",2005,158629,"Manuel","Romero",1954,51,crew
1071,"El jugador",2016,158381,"Pedro","Laxalt",1965,51,cast
1767,"Santos Vega",1971,145172,"Rafael","Obligado",1920,51,crew
7718,"Imágenes del Tío Sam",2013,115905,"Eric","Johnston",1963,50,cast
162246,"中孚 61. La verdad interior",2022,162414,"Alejandra","Pizarnik",1972,50,crew
2853,"La sombra",2015,158160,"Alberto","Etchebehere",1965,50,crew
161171,"Una excursión a los indios ranqueles",1963,151202,"Lucio","V. Mansilla",1913,50,crew
66,"Al compás de tu mentira",1950,158083,"Oscar","Wilde",1900,50,crew
2853,"La sombra",2015,158381,"Pedro","Laxalt",1965,50,cast
1676,"Río Turbio",2022,147532,"Robert","Le Vigan",1972,50,cast
208,"Barcos de papel",2020,158966,"Román","Viñoly Barreto",1970,50,crew
651,"Después del silencio",2020,151529,"Violeta","Antier",1970,50,cast
3057,"Pueblo chico",2005,156397,"Edmo","Cominetti",1956,49,crew
1438,"Mosquita muerta",1946,154218,"Henri","Meilhac",1897,49,crew
2035,"Viento norte",2020,158119,"Orestes","Caviglia",1971,49,cast
2356,"Notas de tango",2000,158088,"Osmar","Maderna",1951,49,crew
362,"El casamiento de Laucha",1977,154077,"Roberto","J. Payró",1928,49,crew
3745,"Días enteros bajo las piedras",2004,131730,"Robert","Walser",1956,48,crew
1224,"No habrá más penas ni olvido",1983,155243,"Alfredo","Le Pera",1935,48,crew
2850,"Balnearios",2001,137316,"Django","Reinhardt",1953,48,crew
2850,"Balnearios",2001,137316,"Django","Reinhardt",1953,48,crew
2850,"Balnearios",2001,137316,"Django","Reinhardt",1953,48,crew
531,"La dama del mar",1954,154089,"Henrik","Ibsen",1906,48,crew
1224,"No habrá más penas ni olvido",1983,155245,"Carlos","Gardel",1935,48,crew
984,"Los inocentes",2016,158360,"Eduardo","Borrás",1968,48,crew
2035,"Viento norte",2020,155233,"Francisco","Amor",1972,48,cast
318,"El candidato",2017,158685,"Héctor","Calcaño",1969,48,cast
290,"La cama",2018,157708,"Lalo","Malcolm",1970,48,cast
117,"Amor prohibido",1958,157093,"León","Tolstoi",1910,48,crew
934,"Historia de una mala mujer",1948,158083,"Oscar","Wilde",1900,48,crew
1071,"El jugador",2016,158602,"Amalia","Sánchez Ariño",1969,47,cast
4308,"Tierra: Infierno",2003,129830,"Austin","Osman Spare",1956,47,crew
160343,"Allá lejos y hace tiempo",1969,157762,"Guillermo","Enrique Hudson",1922,47,crew
739,"La familia unida esperando la llegada de Hallewyn",1971,150858,"Giácomo","Puccini",1924,47,crew
768,"Donde mueren las palabras",1946,154896,"Johann","Strauss",1899,47,crew
2356,"Notas de tango",2000,156453,"Juan Carlos","Cobián",1953,47,crew
2083,"La voz del tambor",1938,143775,"Léo","Delibes",1891,47,crew
1345,"Mi marido y mi novio",1955,148724,"Victorien","Sardou",1908,47,crew
160726,"Juan Moreira",1936,149176,"Eduardo","Gutiérrez",1889,47,crew
161074,"Santos Vega",1936,149176,"Eduardo","Gutiérrez",1889,47,crew
1418,"La patota",2015,158360,"Eduardo","Borrás",1968,47,crew
2853,"La sombra",2015,158360,"Eduardo","Borrás",1968,47,crew
1038,"El jefe",2011,158376,"Francisco","Audenino",1964,47,cast
754,"Fascinación",2016,158685,"Héctor","Calcaño",1969,47,cast
10138,"Una casa sin cortinas",2021,146759,"Juan","Domingo Perón",1974,47,cast
1196,"Un marido ideal",1947,158083,"Oscar","Wilde",1900,47,crew
651,"Después del silencio",2020,158382,"Raúl","del Valle",1973,47,cast
1732,"Safo, historia de una pasión",1943,156157,"Alphonse","Daudet",1897,46,crew
344,"Carmen",1943,154218,"Henri","Meilhac",1897,46,crew
835,"La fuga",2013,158354,"Francisco","Petrone",1967,46,cast
651,"Después del silencio",2020,156695,"Lucio","Demare",1974,46,crew
1651,"Puertos de ensueño",1942,152725,"Johannes","Brahms",1897,45,crew
1926,"Veinticuatro horas en la vida de una mujer",1944,154896,"Johann","Strauss",1899,45,crew
10234,"El libro de los placeres",2022,105076,"Clarice","Lispector",1977,45,crew
613,"Derecho viejo",1998,158935,"Carlos","Belluci",1953,45,cast
309,"Canción de cuna",2005,154555,"Enrique","Amorim",1960,45,crew
1527,"Una mujer sin importancia",1945,158083,"Oscar","Wilde",1900,45,crew
628,"El deseo",1944,151707,"Eça","de Queiroz",1900,44,crew
160338,"Alejandra",1956,158037,"Alexandre","Bisson",1912,44,crew
309,"Canción de cuna",2005,157776,"Julián","Bautista",1961,44,crew
50,"Adolescencia",2011,158492,"Enrique","Pedro Delfino",1967,44,crew
159968,"La muerte no es ninguna solución",1988,144713,"Glenn","Miller",1944,44,crew
1203,"Noche de bodas",2009,158742,"Enrique","Serrano",1965,44,cast
651,"Después del silencio",2020,158925,"Jorge","Villoldo",1976,44,cast
613,"Derecho viejo",1998,158629,"Manuel","Romero",1954,44,crew
309,"Canción de cuna",2005,157685,"Miguel","Gómez Bao",1961,44,cast
208,"Barcos de papel",2020,158705,"Ubaldo","Martínez",1977,43,cast
2035,"Viento norte",2020,158786,"Mario","Soffici",1977,43,crew
160642,"Fausto",1923,150802,"Estanislao","del Campo",1880,43,crew
1009,"Invasión",2015,154824,"Juan Carlos","Paz",1972,43,cast
6393,"De corte antiguo",2007,153935,"Anselmo","Aieta",1964,43,crew
754,"Fascinación",2016,155845,"Arturo","de Córdova",1973,43,cast
283,"La calle",1953,155720,"Florencio","Sánchez",1910,43,crew
930,"Guacho",2007,158376,"Francisco","Audenino",1964,43,cast
98,"Amalia",1914,157482,"José","Mármol",1871,43,crew
3369,"El malentendido",2002,146643,"Albert","Camus",1960,42,crew
782,"Don Segundo Sombra",1969,150653,"Ricardo","Güiraldes",1927,42,crew
5454,"A propósito de Buenos Aires",2007,152800,"Ezequiel","Martínez Estrada",1965,42,crew
10215,"No va más",2022,158079,"Luis","Sandrini",1980,42,cast
1378,"Papá tiene novia",1941,154896,"Johann","Strauss",1899,42,crew
930,"Guacho",2007,158160,"Alberto","Etchebehere",1965,42,crew
1203,"Noche de bodas",2009,158917,"Alfredo","Traverso",1967,42,crew
349,"Cartas de amor",2005,158351,"Eduardo","Cuitiño",1963,42,cast
160551,"El juguete rabioso",1984,148842,"Roberto","Arlt",1942,42,crew
10215,"No va más",2022,155474,"Lucas","Demare",1981,41,crew
1905,"Sola",2021,156224,"Claudio","Levrino",1980,41,cast
10499,"Esto no está pasando. Imaginaciones a partir de lecturas de Jean-Paul Sartre",2021,149088,"Jean-Paul","Sartre",1980,41,crew
6774,"Verano maldito",2011,120512,"Yukio","Mishima",1970,41,crew
1361,"Mi noche triste",1997,147371,"Antonio","Scatasso",1956,41,crew
160376,"Bajo la superficie",2021,157698,"Eduardo","Rovira",1980,41,crew
413,"Circe",2009,158853,"José","Serra",1968,41,crew
