tmdb_id;tmdb_title;tmdb_original_title;tmdb_year;tmdb_release_date;premiere_date;premiere_country;premiere_note;tmdb_overview;tmdb_popularity;tmdb_vote_average;tmdb_vote_count
1202565;No salgas;No salgas;2023;24/11/2023;24/11/2023;AR;Buenos Aires Rojo Sangre;Milagros una joven estudiante de teatro, deprimida por la trágica muerte de su padre inicia un viaje con amigos organizado por Juan, su novio, que quiere ayudarla a pasar un buen rato. Todo es tranqui;8613;9;5
995034;Turno nocturno;Turno nocturno;2023;3/10/2023;19/4/2023;AR;24° BAFICI;Tras una seguidilla de noches exhaustivas en el albergue transitorio Palo Alto, el Conserje nocturno se enfrentará a una noche atípica, la cual pondrá a prueba su desempeño laboral. La aparición de un;7462;62;4
1087420;El Santo;El Santo;2023;20/4/2023;20/4/2023;AR;BAFICI;Rubén es un curandero con un pasar humilde que atiende sus pacientes en un pequeño comercial donde también vive. Su fama es moderada, pero no sus técnicas de curación, que son extravagantes y perturba;6864;55;4
1114594;El sueño de la mariposa;El sueño de la mariposa;2023;25/4/2023;25/4/2023;BR;Fantaspoa;Franco (30) vive en una comunidad cerrada exclusiva con su esposa, Maia (30), con quien busca concebir. Habiéndose retirado joven después de vender su aplicación, Franco vive una vida de ocio y comodi;6714;0;0
997294;Cerrar los ojos;Cerrar los ojos;2023;16/8/2023;22/5/2023;FR;Cannes Film Festival;Años después de su misteriosa desaparición, Julio Arenas, un famoso actor español, vuelve a ser noticia gracias a un programa de televisión.;6302;7085;112
718608;Pájaros rojos;Pájaros rojos;2023;25/5/2023;25/5/2023;AR;Festival Internacional de Cine Político;"En la Argentina de los años 70, una joven poetisa escribe sobre pájaros rojos rodeados de fuego. Conoce a un carismático líder estudiantil; enamorados y unidos por sus ideales, sueñan con un mundo mej";6165;0;0
1111022;The Urgency of Death;The Urgency of Death;2023;27/4/2023;27/4/2023;AR;BAFICI;La hija del dueño de la tradicional confitería Ritz de La Plata –que trabajó en las farmacias Ojeda, Sarti, Santa Lucía, y ahora trabaja en la farmacia Santa Rosa– siente una total repulsión a convivi;5626;2;1
1205943;En El Mismísimo Momento;En El Mismísimo Momento;2023;13/11/2023;13/11/2023;NL;International Documentary Festival Amsterdam;Un niño criado en el monte quiere exprimir la realidad. El adentro y el afuera se trenzan en su mente mientras invoca sus obsesiones y captura lo que pasa a su alrededor con una cámara.;4757;0;0
936744;Animal Transport;Carga animal;2023;27/4/2023;27/4/2023;AR;BAFICI;Un transportista de animales descubre que dentro de una de las jaulas hay un animal sorprendentemente parecido a un humano. Mientras le recriminan su tardanza, tendrá que decidir si concretar o no la ;4454;6556;9
1210002;Como hombre;Como hombre;2023;23/11/2023;23/11/2023;AR;Buenos Aires Rojo Sangre.;;4429;0;0
1198710;Un zorro;Un zorro;2023;8/11/2023;8/11/2023;AR;Festival Internacional de Cine de Mar del Plata;Vera viaja con su madre y su hermana a ver un eclipse en el bosque, pero una extraña presencia hará que el miedo se apodere de ella. La niña es seducida por la naturaleza y se pierde en su inmensidad.;4374;0;0
898275;El hincha;El hincha;2023;23/4/2023;23/4/2023;AR;BAFICI;Renzo intenta acercarse al universo familiar y futbolero, el cual siempre le resultó ajeno. Así deambula entre su vida actual y la que podría haber tenido.;4112;2;1
1087253;Stories of the Argentine West;Amargo y Retruco;2023;1/12/2023;4/5/2024;AR;Festival Internacional de Cine Independiente de Cosquín | FICIC;En una taberna del interior Argentino, la xenofobia entre gauchos es la encargada de difuminar la linea entre la ley y la trampa.;4058;10;1
1086007;La Rosa y el Ciclón;La Rosa y el Ciclón;2023;24/11/2023;24/11/2023;AR;Centro Cultural San Martin;Rosita y Ciclón Jr. son dos wrestlers bolivianos que hacen catch en el barrio de Liniers. La lucha libre atraviesa sus vidas desde lo profesional, lo familiar y hasta lo romántico. Una historia de amo;4054;0;0
1111493;Un Andantino;Un Andantino;2023;22/4/2023;22/4/2023;AR;BAFICI;;4034;45;2
1112852;La Oscuridad Más Oscura;La Oscuridad Más Oscura;2023;8/10/2023;8/10/2023;AR;Festival de Cine de Ezeiza;;4019;0;0
1126230;El lugar de Nora;El lugar de Nora;2023;10/5/2023;10/5/2023;AR;En el festival La mujer y el Cine 35°;;3946;6;2
