tmdb_id,tmdb_title,tmdb_original_title,tmdb_year,tmdb_release_date,premiere_date,premiere_country,premiere_note,tmdb_overview,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,status,local_id,local_title,local_year,match_reason
1163739,El peso de una pluma,El peso de una pluma,2023,2023-07-10,2023-07-10,AR,,"Desde que conviven juntos, Martina percibe que su novio Andrés tiene ciertas actitudes dañinas. Si bien se esfuerza en creer que el vínculo es importante, su intuición le dice que algo no cuadra.",0.4005,0,0,missing,,,,No encontrada en CineNacional
1155525,Javier Milei: la revolución liberal,Javier Milei: la revolución liberal,2023,2023-07-10,2023-07-10,AR,Buenos Aires,Un retrato del político libertario argentino Javier Milei.,0.2441,3.7,6,missing,,,,No encontrada en CineNacional
1148566,Outsiders,Outsiders,2023,2023-07-10,2023-07-10,AR,,,0.0999,10,1,missing,,,,No encontrada en CineNacional
1038744,Cómo copiarse en un examen,Cómo copiarse en un examen,2023,2023-07-10,2023-07-10,ES,Festival de Islantilla,,0.0286,6,2,missing,,,,No encontrada en CineNacional
1211983,La estafa,La estafa,2023,2023-07-09,2023-07-09,AR,,Un joven porteño es traicionado por la gente de su barrio.,0.1712,0,0,missing,,,,No encontrada en CineNacional
1318943,Futuro incierto de un pasado no tan lejano,Futuro incierto de un pasado no tan lejano,2023,2023-07-08,2023-07-08,AR,,Video minuto hecho para los 40 años de democracia de Argentina.,0.0297,0,0,missing,,,,No encontrada en CineNacional
1375040,Los Reflejantes,Los Reflejantes,2023,2023-07-07,2023-07-07,AR,,,0.3605,0,0,missing,,,,No encontrada en CineNacional
1151798,Caballero,Caballero,2023,2023-07-07,2023-07-07,AR,,,0.117,0,0,missing,,,,No encontrada en CineNacional
1149010,Zombificado,Zombificado,2023,2023-07-06,2023-07-06,AR,,"Tomás y Bruno se reúnen al salir de una fiesta, donde uno de ellos se da cuenta que acaba de ser mordido.",0.1014,0,0,missing,,,,No encontrada en CineNacional
1148622,El vaivén de las escuelas,El vaivén de las escuelas,2023,2023-07-06,2023-07-06,AR,,Los sonidos de la rutina se repetían casi automáticamente vaciando lo fecundo y creativo de cada amanecer. Llegó la pandemia y puso en jaque la vida. Frenamos y escuchamos hasta nuestra respiración. L,0.1329,0,0,exists_by_tmdb,189617,El vaivén de las escuelas,2023,Match por tmdb_id
1141292,Glitter,Glitter,2023,2023-07-06,2023-07-06,BR,,,0.0481,0,0,missing,,,,No encontrada en CineNacional
1137094,Las cosas indefinidas,Las cosas indefinidas,2023,2023-07-06,2023-07-06,FR,FIDMarseille,"Eva se dedica a editar películas. Mientras trabaja junto a su asistente Rami en un largometraje sobre personas con ceguera, parece haber perdido el entusiasmo por el cine. A esto se suma la reciente m",0.1583,8.7,14,exists_by_tmdb,9803,Las cosas indefinidas,2023,Match por tmdb_id
917281,Me encontrarás en lo profundo del abismo,Me encontrarás en lo profundo del abismo,2023,2023-07-06,2022-11-04,AR,Mar del Plata Film Festival,"Bannon está atrapado en medio de una ciudad aislada y cubierta por un cielo negro y lluvioso, que resume el final y la decadencia del viejo mundo. Buscando salir del área condenada, se dará cuenta que",0.4978,6.39,91,exists_by_tmdb,189777,Me encontrarás en lo profundo del abismo,2023,Match por tmdb_id
791295,Casi muerta,Casi muerta,2023,2023-07-06,2023-07-06,AR,,"María y Javi son amigos de toda la vida. Sin embargo están distanciados hace más de un año. Cuando María sufre un accidente que la deja al borde de la muerte, los amigos se reencuentran y descubren qu",4.1178,7.1,36,exists_by_tmdb,9992,Casi muerta,2023,Match por tmdb_id
1148934,Noche Eterna,Noche Eterna,2023,2023-07-05,2023-07-05,AR,,,0.0727,4.5,2,missing,,,,No encontrada en CineNacional
