ID,Título,Año,Director(es),Slug
161057,"Rojo",1992,"Paula Hernández",rojo
2728,"Rojo",2018,"Benjamín Naishtat, Paula Hernández",rojo-ii
161059,"Rompecabezas",2000,"Robert M. Rovere",rompecabezas
5286,"Rompecabezas",2009,"Natalia Smirnoff, Natalia Urruty, Natalia Urruty",rompecabezas-2
161061,"Ruido",2004,"Marcelo Bertalmío",ruido
161062,"Ruido",2006,"Antonio Bejarano, Gustavo Daguerre, Martín Ibarra, Rodrigo Patiño",ruido-2
161063,"Ruido",2014,"Germán Ruiz",ruido-3
5082,"Ruido",2019,"Juana Varela, Germán Ruiz, Antonio Bejarano, Marcelo Bertalmío, Gustavo Daguerre, Martín Ibarra, Rodrigo Patiño",ruido-i
163417,"Ruido",2022,"Natalia Beristain, Bernardo Velasco, Julio Quezada Orozco, Mauricio Calderón, Mora Admx, Ehécatl García, Bernardo Velasco, Marco Aguilar, Salvador ""Chava"" Chavarría, Mario Germes Ruiz, Luis Ocampo, Christian Castañeda López, Carlos Matienzo",ruido-4
161123,"S/T",2007,"Claudio Caldini",st
7565,"S/T",2014,"Sergio Subero",st-2
161065,"Salsipuedes",2001,"Manuel Méndez, Diego Rivera",salsipuedes
2384,"Salsipuedes",2012,"Mariano Luque, Manuel Méndez, Diego Rivera",salsipuedes-2
161068,"Sangre",1999,"Paulo Pécora",sangre-2
161067,"Sangre",2003,"Pablo César, Miguel Martínez",sangre
2518,"Sangre",2020,"Juan Schnitman, Felipe Solari Yrigoyen, Pablo César, Manuel Nieto Zas, Miguel Martínez",sangre-i
161069,"Sangre en la boca",2008,"Hernán Belón, Diego García",sangre-en-la-boca
7202,"Sangre en la boca",2015,"Hernán Belón, Diego García",sangre-en-la-boca-2
161072,"Santa",2014,"Carlos Vilaró Nadal, Ezequiel Vargas, Javier Figueroa, Bonzo Villegas",santa
8702,"Santa",2020,"Víctor Postiglione, Gonzalo Inovich, Ezequiel Vargas, Javier Figueroa, Bonzo Villegas",santa-i
161075,"Santos Vega",1917,"Carlos de Paoli",santos-vega-2
161074,"Santos Vega",1936,"Luis José Moglia Barth",santos-vega
1767,"Santos Vega",1971,"Carlos F. Borcosque (h), Luis José Moglia Barth",santos-vega-3
161077,"Sarah",2004,"Paola Interlandi",sarah
3385,"Sarah",2015,"Emiliano Romero",sarah-2
4606,"Se necesita un hombre con cara de boludo",2005,"Grupo Humus, Agustín Gregori",se-necesita-un-hombre-con-cara-de-boludo-2
161081,"Se necesita un hombre con cara de boludo",2005,"Agustín Gregori",se-necesita-un-hombre-con-cara-de-boludo
161087,"Siesta",1998,"Julia Solomonoff",siesta
2938,"Siesta",2018,"David Chacón, Julia Solomonoff",siesta-i
3363,"Silencio",1994,"Martina Muñoz, Nicolás Zukerfeld",silencio-2
161089,"Silencio",2002,"Nicolás Zukerfeld",silencio
5030,"Simpatía",2007,"Galel Maidana",simpatia-2
161091,"Simpatía",Sin año,"Sin director",simpatia
1874,"Sin fin",2005,"María de Lourdes Argüelles, Yamila Chein Asaro",sin-fin-2
5661,"Sin fin",2005,"Sin director",sin-fin
161093,"Sin salida",2004,"Cecilia Caruso, Gastón Inaui, Javier Gil",sin-salida
4789,"Sin salida",2007,"Alejo Rébora, Gonzalo Fernández Prieto, Gastón Inaui, Javier Gil",sin-salida-2
195981,"Sin salida",2024,"WHO, Lautaro Perín",sin-salida-3
161095,"Sin señal",2012,"David León Sofía",sin-senal
7526,"Sin señal",2013,"Lucía Gasconi",sin-senal-2
7625,"Sin título",2012,"Mariano Llinás, Santiago Mitre",sin-titulo-2
161097,"sin título",2012,"Ale Rath",sin-titulo
161100,"Sobre la tierra",1998,"Nicolás Sarquís, Leonardo Fabio Calderón, Lisandro Alonso, Paula Parissi, Santiago E. Calvette",sobre-la-tierra
2265,"Sobre la tierra",2001,"María Florencia Álvarez, Nicolás Sarquís, Leonardo Fabio Calderón, Lisandro Alonso, Paula Parissi, Santiago E. Calvette",sobre-la-tierra-2
161102,"Sofía",1987,"Alejandro Doria, Felipe López",sofia
1902,"Sofía",2005,"Matías Pérez, Alejandro Doria, Felipe López",sofia-2
161106,"Sola",1976,"Raúl de la Torre",sola-2
161107,"Sola",1979,"Alejandro Agresti",sola-2-2
161108,"Sola",2002,"Pedro Wallace",sola-3
159305,"Sola",2021,"José María Cicala",sola
1905,"Sola",2021,"Sabrina Blanco, Pedro Wallace, Raúl de la Torre, Alejandro Agresti",sola-ii
161109,"Sola",Sin año,"Sabrina Blanco",sola-i
161111,"Soldado",1995,"Verónica Chen",soldado
3033,"Soldado",2017,"Manuel Abramovich, Aimé Pansera",soldado-2
161113,"Solo",2001,"Nicolás Kliczkowski",solo
